,date,tmp,angle,angle_std
0,01/05/2018,34.075,121.3333333,16.49747455
1,02/05/2018,34.91388889,264.7222222,85.03973291
2,03/05/2018,34.65833333,189.25,161.2378118
3,04/05/2018,36.08611111,170.8333333,103.0128093
4,05/05/2018,25.40833333,311.8055556,14.4986962
5,06/05/2018,25.24722222,129.9444444,120.2790608
6,07/05/2018,23.36666667,289.9722222,6.83734074
7,08/05/2018,24.45555556,288.9166667,11.55752521
8,09/05/2018,25.46388889,314.6944444,14.82643931
9,10/05/2018,35.91944444,252.4722222,55.32554469
10,11/05/2018,25.88333333,320.8333333,9.48536885
11,12/05/2018,24.40833333,295.1388889,11.66703042
12,13/05/2018,24.69444444,296.25,16.0906719
13,14/05/2018,24.89166667,322.3055556,14.48719635
14,15/05/2018,25.55277778,275.5833333,132.2691648
15,16/05/2018,27.43888889,264.4722222,138.0121746
16,17/05/2018,33.36666667,301.4722222,88.9305241
17,18/05/2018,40.28888889,226,106.8612808
18,19/05/2018,34.475,204.6388889,141.560186
19,20/05/2018,32.28611111,320.9722222,14.19014938
20,21/05/2018,35.57222222,164.6944444,162.4061814
21,22/05/2018,39.15,162.3333333,101.8509259
22,23/05/2018,30.95,304.8055556,15.04404542
23,24/05/2018,30.89722222,320.0555556,13.23913484
24,25/05/2018,33.86666667,249.7777778,103.0232204
25,26/05/2018,28.90277778,295.6111111,117.4805605
26,27/05/2018,28.40555556,316.0833333,93.67597077
27,28/05/2018,27.53611111,249.7777778,143.4050424
28,29/05/2018,27.73055556,320.0277778,10.62095965
29,30/05/2018,27.634375,316.5,10.97155413
30,31/05/2018,28.08333333,306.3888889,12.29335362
31,01/06/2018,27.79166667,320.7222222,14.65645688
32,02/06/2018,27.45277778,308.8333333,16.40545302
33,03/06/2018,28.14722222,312.25,14.03443187
34,04/06/2018,28.01111111,317.7777778,13.30645439
35,05/06/2018,29.35277778,327.1111111,16.84204029
36,06/06/2018,29.46666667,277.5833333,132.6608824
37,07/06/2018,29.83055556,327.4166667,79.55828576
38,08/06/2018,31.65555556,326.6666667,8.740073735
39,09/06/2018,31.3,313.7222222,10.95346498
40,10/06/2018,32.975,299.6388889,18.15236865
41,11/06/2018,29.41388889,297.9166667,15.51768704
42,12/06/2018,28.59166667,307.3888889,18.23805207
43,13/06/2018,27.69444444,292.3888889,15.50318565
44,14/06/2018,30.90555556,306.75,23.23117517
45,15/06/2018,32.75555556,319.8888889,13.40766319
46,16/06/2018,39.87777778,255.8611111,62.28436257
47,17/06/2018,30.95833333,319.5833333,18.09907149
48,18/06/2018,29.36388889,327.7222222,11.69427949
49,19/06/2018,32.44444444,244.6944444,147.5139955
50,20/06/2018,30.14444444,331.75,10.37725879
51,21/06/2018,30.26666667,328.8055556,13.4759445
52,22/06/2018,32.88888889,319.2222222,76.89824124
53,23/06/2018,30.87777778,337.9166667,8.929896727
54,24/06/2018,30.56111111,321.3055556,11.81999117
55,25/06/2018,30.14444444,327.3333333,14.49137675
56,26/06/2018,30.82777778,320.7777778,78.12422839
57,27/06/2018,34.70833333,228.9444444,157.7163319
58,28/06/2018,30.94722222,323.7777778,10.14919567
59,29/06/2018,29.34722222,323.8333333,15.45692941
60,30/06/2018,29.33333333,318.1388889,13.48075331
61,01/07/2018,30.11111111,317.25,77.23570526
62,02/07/2018,29.90555556,327.6388889,52.84156233
63,03/07/2018,30.19166667,326.2777778,7.529981227
64,04/07/2018,31.65277778,315.5555556,15.36309511
65,05/07/2018,32.30277778,292.5277778,15.04896842
66,06/07/2018,32.35833333,295,19.95550606
67,07/07/2018,32.66111111,303.5555556,17.19729379
68,08/07/2018,32.71944444,308.1111111,14.79259908
69,09/07/2018,33.57222222,313.1944444,54.27902165
70,10/07/2018,31.06944444,319.3611111,9.434430966
71,11/07/2018,31.525,331.0833333,7.65714989
72,12/07/2018,30.50277778,310.3888889,11.01331966
73,13/07/2018,30.97777778,295.6111111,12.64972063
74,14/07/2018,31.4,293.5,14.34205161
75,15/07/2018,32.34444444,302.4166667,26.77724469
76,16/07/2018,32.35555556,303.5555556,16.39350218
77,17/07/2018,32.03333333,319.8333333,10.95571895
78,18/07/2018,32.90555556,304.0277778,25.68017622
79,19/07/2018,31.90277778,308.0277778,12.72898292
80,20/07/2018,31.24444444,292.3055556,14.87133605
81,21/07/2018,31.11944444,309.3333333,6.875883782
82,22/07/2018,31.375,304.8055556,13.34545167
83,23/07/2018,32.62222222,294.9166667,13.25471614
84,24/07/2018,35.18333333,284.2222222,20.91532016
85,25/07/2018,37.02777778,304.3888889,20.48749995
86,26/07/2018,32.78611111,315.8333333,11.16666667
87,27/07/2018,32.30277778,319.4166667,17.9402945
88,28/07/2018,30.80555556,306.7777778,9.643970803
89,29/07/2018,31.025,308.6111111,9.301367217
90,30/07/2018,31.73939394,312.4242424,10.09059059
91,31/07/2018,32.37777778,328.0833333,12.57505246
92,01/08/2018,31.87222222,308.2222222,13.56693511
93,02/08/2018,30.75833333,300.7222222,9.08481979
94,03/08/2018,31.40833333,299.7777778,17.49461998
95,04/08/2018,32.26388889,309.8333333,25.45093319
96,05/08/2018,32.46388889,324.8611111,19.3823413
97,06/08/2018,32.275,321.8611111,10.49643531
98,07/08/2018,31.175,311.3333333,11.11805339
99,08/08/2018,31.6,302.1388889,10.47789413
100,09/08/2018,32.52777778,312.0277778,16.6040258
101,10/08/2018,33.56388889,305.1666667,17.67688384
102,11/08/2018,33.15555556,315.0555556,12.14940429
103,12/08/2018,32.55277778,307.5833333,10.05367539
104,13/08/2018,32.075,304.0555556,9.507144812
105,14/08/2018,30.84166667,297.9166667,14.45370964
106,15/08/2018,31.70833333,308.2222222,17.50414413
107,16/08/2018,32.19444444,308.3055556,15.37823036
108,17/08/2018,31.48333333,305.6111111,14.87779437
109,18/08/2018,31.46111111,307.4444444,12.82021937
110,19/08/2018,31.28055556,309.5555556,16.29663299
111,20/08/2018,32.23333333,305.25,20.75836511
112,21/08/2018,32.67222222,303.4444444,20.21749029
113,22/08/2018,31.49444444,316.2777778,13.43422477
114,23/08/2018,32.11388889,326.75,12.57063377
115,24/08/2018,32.84722222,328.3611111,55.20122421
116,25/08/2018,31.67222222,325.9722222,12.73552798
117,26/08/2018,31.09722222,306.7222222,10.03773744
118,27/08/2018,31.37777778,307.6666667,10.17622501
119,28/08/2018,32.18055556,319,18.36814876
120,29/08/2018,31.67241379,339.4482759,9.253466105
121,30/08/2018,31.54722222,316.1944444,94.06788903
122,31/08/2018,31.83333333,325.5555556,56.00666847
123,01/09/2018,31.61388889,325.6111111,18.85953602
124,02/09/2018,31.74722222,326.9444444,10.41885162
125,03/09/2018,32.51388889,317.6944444,19.31726264
126,04/09/2018,33.61666667,320.7777778,55.50330877
127,05/09/2018,33.29444444,308.0277778,12.41971128
128,06/09/2018,30.91111111,295.1666667,15.5697356
